标题,小区,区域,售价,单价,户型,面积,朝向,装修,楼层,年份,建筑类型,详情页
铁道学院次新盘 高绿化 人车分流 总价低拎包入住一房,天鸿中央大院 ,铁道学院,29.9,8390,1室1厅,35.64,北,其他,中楼层(共34层),2016年,板楼,https://cs.lianjia.com/ershoufang/104113530626.html
中上楼层，视野好，业主诚信出售 毛坯价买装修房,绿地香树花城 ,望城区,37.8,4819,2室1厅,78.45,南,其他,高楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112311104.html
火车站向韶村 单位房 分摊小 楼层好 独立院子,省地铁局宿舍 ,火车站,43.8,5848,2室1厅,74.9,南 北,简装,中楼层(共7层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113289418.html
麓谷公园一房一厅复式楼，公园旁地铁口！,金荣央谷金座 ,麓谷东,29.8,6483,1室1厅,45.97,南,简装,中楼层(共5层),2012年,板楼,https://cs.lianjia.com/ershoufang/104111597568.html
小高层电梯房，一梯两户低密度，居住环境舒适,润芳园小区 ,东方红,75,8178,3室2厅,91.72,南,简装,17层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104110468778.html
70年产权 近湘一 配套成熟 配套齐全,庄园心伽泊 ,福元西路,33,7134,1室1厅,46.26,南,其他,高楼层(共30层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104110357339.html
汽车南站，近地铁，近天虹卓越蔚蓝城邦,卓越蔚蓝城邦 ,德思勤,99.8,9674,3室2厅,103.17,南,精装,中楼层(共27层),2017年,塔楼,https://cs.lianjia.com/ershoufang/104111815452.html
央企大盘，中上楼层！小区环境好配套齐全！近地铁,中国铁建国际城 ,泉塘,43,5410,2室2厅,79.49,南,毛坯,高楼层(共31层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104113063041.html
精装修小户型，有天然气，住宅性质的，预购从速,中航山水蓝天 ,望城区,22,4451,1室1厅,49.43,南,其他,低楼层(共18层) ,,板楼,https://cs.lianjia.com/ershoufang/104113142444.html
水郡四房清水毛坯，可看江。诚心出售,湘熙水郡 ,洋湖垸,171,13180,4室2厅,129.75,南,其他,低楼层(共27层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104112362797.html
芙蓉区汇一城汽车东站星沙大道远大路三房出售,汇一城 ,汽车东站,86.8,7260,3室2厅,119.56,南 北,简装,低楼层(共24层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112787978.html
芙蓉区品质楼盘 万科物业 近地铁和浏阳河,万科金域蓝湾 ,晚报,98,10882,3室2厅,90.06,南,精装,低楼层(共33层),2008年,板塔结合,https://cs.lianjia.com/ershoufang/104112316928.html
